qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.02346324920654297,0.037470102310180664,0.03433871269226074,0.03559422492980957,0.03484535217285156,0.03741931915283203,0.01593494415283203
0.02325272560119629,0.03744196891784668,0.034655094146728516,0.0380709171295166,0.034393310546875,0.03726696968078613,0.015970230102539062
0.023129940032958984,0.03755497932434082,0.03474617004394531,0.03723645210266113,0.03488731384277344,0.03746533393859863,0.015656232833862305
0.023404359817504883,0.03937959671020508,0.03468179702758789,0.0356903076171875,0.03445577621459961,0.03723573684692383,0.015772104263305664
0.023310184478759766,0.037871360778808594,0.03445005416870117,0.03339982032775879,0.033300161361694336,0.03737974166870117,0.01562976837158203
0.023532390594482422,0.03606891632080078,0.03472018241882324,0.03451681137084961,0.035201311111450195,0.0378115177154541,0.015838623046875
0.02317500114440918,0.03682899475097656,0.03684830665588379,0.03592872619628906,0.03522157669067383,0.037405967712402344,0.01571488380432129
0.023194313049316406,0.036252498626708984,0.03524208068847656,0.03724265098571777,0.03725099563598633,0.037166595458984375,0.015584468841552734
0.02288079261779785,0.03605914115905762,0.03553128242492676,0.03285360336303711,0.03800082206726074,0.03724503517150879,0.01571822166442871
0.023082733154296875,0.03843426704406738,0.03521442413330078,0.034975528717041016,0.035642147064208984,0.03762364387512207,0.015617847442626953
0.02330803871154785,0.03784990310668945,0.0338139533996582,0.03732752799987793,0.03636980056762695,0.03798699378967285,0.015564680099487305
0.022812843322753906,0.0360722541809082,0.03518390655517578,0.03548932075500488,0.0362699031829834,0.037371158599853516,0.015633106231689453
0.023138761520385742,0.038123369216918945,0.03518819808959961,0.039819955825805664,0.035991668701171875,0.037335872650146484,0.015588045120239258
0.023204565048217773,0.038797855377197266,0.03643631935119629,0.03501439094543457,0.03595447540283203,0.037206411361694336,0.015631675720214844
0.023837566375732422,0.03597617149353027,0.03548145294189453,0.03390192985534668,0.03720855712890625,0.03624367713928223,0.015694856643676758
0.023245811462402344,0.03605508804321289,0.03468632698059082,0.03540349006652832,0.036516427993774414,0.036296844482421875,0.015706777572631836
0.023197650909423828,0.03647112846374512,0.03514409065246582,0.037394046783447266,0.036003828048706055,0.03597712516784668,0.015592098236083984
0.023336410522460938,0.036374568939208984,0.03412747383117676,0.03929901123046875,0.03559231758117676,0.035427093505859375,0.015608787536621094
0.023107051849365234,0.036574602127075195,0.03502392768859863,0.03405404090881348,0.03663969039916992,0.03566718101501465,0.01556539535522461
0.0231630802154541,0.03674054145812988,0.03452634811401367,0.034060001373291016,0.035661935806274414,0.03564929962158203,0.01565074920654297
